ID,IATA,City,Airport,CY2018,CY2017,CY2016,CY2015,CY2014,Avg5Yr,Bounds,Default,CY18Enp,CY17Enp,CY16Enp,CY15Enp,CY14Enp,CY13Enp
3,ORD,Chicago,Chicago O'Hare International,0.03,0.03,0.04,0.07,0.05,0.04,0,0,39874879,38593028,37589899,36305668,33843426,32317835
27,MDW,Chicago,Chicago Midway International,-0.02,-0.01,0.02,0.05,0.04,0.02,0,0,10685565,10912074,11044387,10830850,10311996,9915646
153,MLI,Moline,Quad City International,0.06,-0.08,-0.01,-0.01,-0.03,-0.01,0,0,355474,335940,364393,368114,372526,384198
160,PIA,Peoria,General Downing - Peoria International,0.05,0.02,-0.03,-0.01,0.1,0.03,0,0,329029,312378,307189,318162,320054,291147
189,BMI,Bloomington-Normal Airport,Central IL Regional Airport at Bloomington-Normal,0.09,-0.13,0.01,-0.09,-0.04,-0.03,0,0,178112,163475,188490,186633,204523,211957
201,BLV,Belleville,Scott AFB/Midamerica,0.23,0.55,1.45,1,0.21,0.69,1,0,152296,123841,79988,32589,16328,13542
226,CMI,Savoy,University of Illinois-Willard,0.1,0.12,-0.01,-0.06,0.12,0.05,0,0,109943,100133,89318,89836,95351,84853
228,RFD,Rockford,Chicago/Rockford International,-0.05,0.11,-0.06,-0.03,0.02,0,0,0,106710,112862,101790,108379,111983,109384
251,SPI,Springfield,Abraham Lincoln Capital,-0.16,-0.01,0.03,0.05,0.22,0.03,-0.16,0,76950,92048,93269,90413,86198,70651
371,UIN,Quincy,Quincy Regional-Baldwin Field,0.51,-0.02,-0.14,-0.11,-0.04,0.04,0,0,11633,7709,7847,9159,10241,10679
374,MWA,Marion,Veterans Airport of Southern Illinois,0,0.1,-0.05,-0.05,-0.01,0,0,0,11078,11029,10044,10570,11096,11241
383,DEC,Decatur,Decatur,0.13,-0.02,0.05,0.19,-0.01,0.07,0,0,9519,8324,8453,8034,6746,6827
